"Kushi Tsuru","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:30-21:00"
"Osakaya Restaurant","Mon,Tue,Wed,Thu,Sun|11:30-21:00;Fri,Sat|11:30-21:30"
"The Stinking Rose","Mon,Tue,Wed,Thu,Sun|11:30-22:00;Fri,Sat|11:30-23:00"
"McCormick & Kuleto's","Mon,Tue,Wed,Thu,Sun|11:30-22:00;Fri,Sat|11:30-23:00"
"Mifune Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-22:00"
"The Cheesecake Factory","Mon,Tue,Wed,Thu,Fri|11:00-23:00;Fri,Sat|11:00-00:30;Sun|10:00-23:00"
"New Delhi Indian Restaurant","Mon,Tue,Wed,Thu,Fri,Sat|11:30-22:00;Sun|17:30-22:00"
"Iroha Restaurant","Mon,Tue,Wed,Thu,Sun|11:30-21:30;Fri,Sat|11:30-22:00"
"Rose Pistola","Mon,Tue,Wed,Thu|11:30-22:00;Fri,Sat,Sun|11:30-23:00"
"Alioto's Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-23:00"
"Canton Seafood & Dim Sum Restaurant","Mon,Tue,Wed,Thu,Fri|10:30-21:30;Sat,Sun|10:00-21:30"
"All Season Restaurant","Mon,Tue,Wed,Thu,Fri|10:00-21:30;Sat,Sun|09:30-21:30"
"Bombay Indian Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:30-22:30"
"Sam's Grill & Seafood Restaurant","Mon,Tue,Wed,Thu,Fri|11:00-21:00;Sat,Sun|17:00-21:00"
"2G Japanese Brasserie","Mon,Tue,Wed,Thu,Sun|11:00-22:00;Fri,Sat|11:00-23:00"
"Restaurant Lulu","Mon,Tue,Wed,Thu,Sun|11:30-21:00;Fri,Sat|11:30-22:00"
"Sudachi","Mon,Tue,Wed|17:00-00:30;Thu,Fri|17:00-01:30;Sat|15:00-01:30;Sun|15:00-23:30"
"Hanuri","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-00:00"
"Herbivore","Mon,Tue,Wed,Thu,Sun|09:00-22:00;Fri,Sat|09:00-23:00"
"Penang Garden","Mon,Tue,Wed,Thu|11:00-22:00;Fri,Sat|10:00-22:30;Sun|11:00-23:00"
"John's Grill","Mon,Tue,Wed,Thu,Fri,Sat|11:00-22:00;Sun|12:00-22:00"
"Quan Bac","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-22:00"
"Bamboo Restaurant","Mon,Tue,Wed,Thu,Fri,Sat|11:00-00:00;Sun|12:00-00:00"
"Burger Bar","Mon,Tue,Wed,Thu,Sun|11:00-22:00;Fri,Sat|11:00-00:00"
"Blu Restaurant","Mon,Tue,Wed,Thu,Fri|11:30-22:00;Sat,Sun|07:00-15:00"
"Naan 'N' Curry","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-16:00"
"Shanghai China Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-21:30"
"Tres","Mon,Tue,Wed,Thu,Sun|11:30-22:00;Fri,Sat|11:30-23:00"
"Isobune Sushi","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:30-21:30"
"Viva Pizza Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-00:00"
"Far East Cafe","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:30-22:00"
"Parallel 37","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:30-22:00"
"Bai Thong Thai Cuisine","Mon,Tue,Wed,Thu,Fri,Sat|11:00-23:00;Sun|11:00-22:00"
"Alhamra","Mon,Tue,Wed,Thu,Fri,Sun|11:00-23:00"
"A-1 Cafe Restaurant","Mon,Wed,Thu,Fri,Sat,Sun|11:00-22:00"
"Nick's Lighthouse","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-22:30"
"Paragon Restaurant & Bar","Mon,Tue,Wed,Thu,Fri|11:30-22:00;Sat|17:30-22:00"
"Chili Lemon Garlic","Mon,Tue,Wed,Thu,Fri|11:00-22:00;Sat,Sun|17:00-22:00"
"Bow Hon Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-22:30"
"San Dong House","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-23:00"
"Thai Stick Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|11:00-01:00"
"Cesario's","Mon,Tue,Wed,Thu,Sun|11:30-22:00;Fri,Sat|11:30-22:30"
"Colombini Italian Cafe Bistro","Mon,Tue,Wed,Thu,Fri|12:00-22:00;Sat,Sun|17:00-22:00"
"Sabella & La Torre","Mon,Tue,Wed,Thu,Sun|10:00-22:30;Fri,Sat|10:00-00:30"
"Soluna Cafe and Lounge","Mon,Tue,Wed,Thu,Fri|11:30-22:00;Sat|17:00-22:00"
"Tong Palace","Mon,Tue,Wed,Thu,Fri|09:00-21:30;Sat,Sun|09:00-23:00"
"India Garden Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|10:00-23:00"
"Sapporo-Ya Japanese Restaurant","Mon,Tue,Wed,Thu,Fri,Sat|11:00-23:00;Sun|11:00-23:30"
"Santorini's Mediterranean Cuisine","Mon,Tue,Wed,Thu,Fri,Sat,Sun|08:00-22:30"
"Kyoto Sushi","Mon,Tue,Wed,Thu|11:00-22:30;Fri|11:00-23:00;Sat|11:30-23:00;Sun|16:30-22:30"
"Marrakech Moroccan Restaurant","Mon,Tue,Wed,Thu,Fri,Sat,Sun|17:30-02:00"
"Tim's Nighttime Banana Stand","Mon,Tue,Wed,Thu,Fri,Sat,Sun|17:30-06:00"
"Bob's Ghost Taco Truck","Mon,Tue,Wed,Thu,Fri|20:00-20:00"
"Ghost Crepe Cart"
